,S0,S1,S2,S3,S4,S5,S6
3932,0,1,3,7,9,10,25
3933,0,0,2,4,3,12,52
3934,0,1,3,7,9,13,32
3935,0,1,3,7,12,18,51
3936,0,1,3,7,5,30,59
3937,0,0,1,2,2,31,58
3938,0,0,2,6,1,16,47
3939,0,0,0,1,11,21,54
3940,0,0,1,6,8,0,49
3941,0,1,3,7,1,27,25
3942,0,0,2,2,0,27,49
3943,0,1,3,7,8,21,54
3944,0,0,2,2,5,30,2
3945,0,0,2,1,8,12,37
3946,0,0,2,3,13,3,17
3947,0,1,3,7,4,24,26
3948,0,0,1,2,5,3,31
3949,0,1,3,7,7,0,4
3950,0,0,2,4,6,1,1
3951,0,0,0,1,8,23,35
3952,0,0,1,5,13,30,56
3953,0,0,1,2,10,30,60
3954,0,0,0,6,13,13,34
3955,0,0,0,3,14,27,44
3956,0,1,3,7,12,7,56
3957,0,1,3,7,10,1,49
3958,0,0,2,3,10,18,28
3959,0,0,0,6,14,22,41
3960,0,1,3,7,15,19,41
3961,0,0,2,0,10,25,52
3962,0,1,3,7,9,31,34
3963,0,1,3,7,3,1,26
3964,0,0,1,6,14,27,21
3965,0,0,1,0,10,16,48
3966,0,0,1,1,2,9,13
3967,0,0,0,1,14,0,16
3968,0,0,0,2,0,30,37
3969,0,0,1,3,11,13,59
3970,0,0,1,0,0,30,48
3971,0,1,3,7,0,28,3
3972,0,0,1,0,6,17,29
3973,0,0,2,6,4,26,42
3974,0,0,2,2,0,29,23
3975,0,0,0,0,5,19,17
3976,0,0,0,2,0,28,3
3977,0,1,3,7,1,19,56
3978,0,1,3,7,9,16,49
3979,0,1,3,7,6,16,41
3980,0,1,3,7,8,11,19
3981,0,0,2,2,14,10,22
3982,0,0,2,3,2,18,12
3983,0,0,1,4,11,20,57
3984,0,0,1,1,5,30,55
3985,0,0,2,6,3,10,30
3986,0,1,3,7,11,18,62
3987,0,0,1,1,6,12,36
3988,0,1,3,7,4,2,13
3989,0,0,2,3,5,13,33
3990,0,0,0,2,12,3,7
3991,0,0,2,3,7,29,54
3992,0,0,0,6,2,27,39
3993,0,0,1,5,6,2,28
3994,0,0,0,1,3,15,9
3995,0,0,0,2,7,8,17
3996,0,0,1,2,12,16,19
3997,0,1,3,7,4,9,10
3998,0,0,2,2,9,15,22
3999,0,0,2,0,14,31,55
4000,0,0,2,5,14,6,63
4001,0,1,3,7,4,2,53
4002,0,1,3,7,9,17,34
4003,0,0,0,1,8,9,15
4004,0,0,0,3,4,16,6
4005,0,0,0,2,14,23,29
4006,0,1,3,7,6,2,41
4007,0,0,1,3,6,4,58
4008,0,0,1,5,8,23,60
4009,0,1,3,7,2,11,51
4010,0,0,0,4,14,15,41
4011,0,0,0,0,6,13,55
4012,0,0,1,3,1,16,51
4013,0,0,1,0,11,4,12
4014,0,0,1,1,3,6,9
4015,0,1,3,7,0,30,10
4016,0,1,3,7,1,12,47
4017,0,0,1,2,8,31,57
4018,0,0,0,1,5,2,24
4019,0,0,1,4,5,30,56
4020,0,1,3,7,5,10,59
4021,0,0,2,3,9,14,61
4022,0,1,3,7,12,22,57
4023,0,0,1,3,3,27,23
4024,0,0,0,2,0,12,30
4025,0,1,3,7,0,7,44
4026,0,0,1,4,5,17,13
4027,0,1,3,7,11,22,38
4028,0,0,2,1,9,13,34
4029,0,0,1,1,9,25,1
4030,0,0,2,5,7,30,24
4031,0,0,2,5,2,16,3
4032,0,1,3,7,11,4,28
4033,0,0,2,0,1,4,37
4034,0,0,2,4,0,28,42
4035,0,1,3,7,6,18,52
4036,0,1,3,7,11,13,24
4037,0,0,2,2,0,20,4
4038,0,0,1,0,13,7,54
4039,0,0,1,4,15,26,39
4040,0,0,0,6,9,7,31
4041,0,1,3,7,9,23,33
4042,0,0,2,4,15,3,6
4043,0,1,3,7,10,27,19
4044,0,0,2,0,1,10,25
4045,0,0,0,6,0,26,24
4046,0,0,2,0,3,10,18
4047,0,0,2,4,1,17,43
4048,0,0,2,2,6,22,8
4049,0,1,3,7,11,16,17
4050,0,1,3,7,4,14,58
4051,0,0,1,3,4,13,50
4052,0,1,3,7,5,24,6
4053,0,0,2,1,3,5,17
4054,0,1,3,7,7,22,29
4055,0,0,0,3,5,23,13
4056,0,0,1,5,1,4,52
4057,0,0,0,3,6,5,55
4058,0,0,2,6,11,22,26
4059,0,0,1,2,14,31,48
4060,0,0,0,0,7,11,28
4061,0,0,1,2,13,14,14
4062,0,0,2,2,4,26,45
4063,0,0,0,3,13,15,44
4064,0,1,3,7,8,19,26
4065,0,1,3,7,13,26,40
4066,0,0,2,4,7,14,53
4067,0,1,3,7,3,19,33
4068,0,1,3,7,2,6,16
4069,0,0,2,3,6,11,40
4070,0,0,1,3,14,3,25
4071,0,1,3,7,6,19,55
4072,0,0,2,2,12,0,41
4073,0,0,0,3,9,2,42
4074,0,0,1,3,9,24,53
4075,0,1,3,7,5,8,60
4076,0,0,2,4,10,31,39
4077,0,0,1,5,8,28,28
4078,0,0,2,6,0,19,8
4079,0,1,3,7,0,11,12
4080,0,1,3,7,6,1,45
4081,0,0,0,2,14,17,53
4082,0,0,2,4,6,21,34
4083,0,0,2,6,8,13,32
4084,0,0,2,6,9,2,3
4085,0,0,1,4,6,10,37
4086,0,0,1,2,0,25,8
4087,0,0,2,4,1,2,12
4088,0,0,0,5,8,14,54
4089,0,1,3,7,10,25,23
4090,0,0,0,3,13,7,37
4091,0,0,2,6,9,0,52
4092,0,1,3,7,0,24,5
4093,0,1,3,7,0,3,57
4094,0,0,1,2,13,14,18
4095,0,1,3,7,3,30,29
4096,0,0,0,2,1,29,42
4097,0,1,3,7,0,14,24
4098,0,0,0,5,0,14,41
4099,0,0,2,2,7,19,4
4100,0,0,1,2,10,31,22
4101,0,0,1,0,3,12,63
4102,0,0,2,3,10,27,7
4103,0,0,0,0,3,9,39
4104,0,1,3,7,15,6,60
4105,0,0,1,5,1,28,21
4106,0,0,1,5,12,13,60
4107,0,0,2,3,9,4,24
4108,0,0,2,5,3,4,27
4109,0,1,3,7,15,22,10
4110,0,0,1,3,9,19,10
4111,0,1,3,7,0,23,20
4112,0,0,1,3,5,22,32
4113,0,0,1,1,10,23,10
4114,0,0,1,2,14,3,48
4115,0,1,3,7,2,19,56
4116,0,1,3,7,5,14,54
4117,0,1,3,7,9,26,29
4118,0,1,3,7,13,22,61
4119,0,1,3,7,5,15,37
4120,0,1,3,7,13,28,4
4121,0,0,1,3,9,2,55
4122,0,0,1,5,13,31,36
4123,0,0,1,2,6,25,56
4124,0,0,1,4,5,26,62
4125,0,0,1,4,5,4,18
4126,0,0,0,6,1,30,22
4127,0,0,1,1,8,16,2
4128,0,0,2,0,11,13,31
4129,0,0,2,3,8,18,4
4130,0,1,3,7,0,14,35
4131,0,1,3,7,12,0,21
4132,0,0,2,0,9,13,13
4133,0,0,0,5,0,10,15
4134,0,1,3,7,11,10,31
4135,0,0,0,5,1,8,49
4136,0,0,0,1,5,9,20
4137,0,1,3,7,8,30,13
4138,0,0,0,2,15,17,27
4139,0,1,3,7,13,17,16
4140,0,0,0,2,12,18,61
4141,0,0,1,4,5,8,46
4142,0,0,2,6,10,0,19
4143,0,1,3,7,11,22,61
4144,0,0,0,0,15,25,4
4145,0,0,1,3,15,25,16
4146,0,0,1,2,6,5,30
4147,0,0,2,4,3,24,25
4148,0,1,3,7,2,15,38
4149,0,0,0,5,14,14,62
4150,0,0,2,1,1,6,4
4151,0,0,2,5,1,15,13
4152,0,1,3,7,7,6,44
4153,0,1,3,7,6,4,43
4154,0,1,3,7,13,5,19
4155,0,0,0,2,0,18,18
4156,0,0,1,4,7,0,11
4157,0,1,3,7,4,24,14
4158,0,0,0,4,11,19,24
4159,0,0,0,2,5,9,50
4160,0,1,3,7,8,12,39
4161,0,1,3,7,15,7,34
4162,0,1,3,7,15,27,40
4163,0,0,2,1,13,8,18
4164,0,0,0,3,3,10,7
4165,0,0,0,4,5,1,62
4166,0,0,2,6,0,9,14
4167,0,0,2,6,2,16,25
4168,0,0,0,6,13,3,19
4169,0,0,1,2,9,31,17
4170,0,0,0,0,15,8,15
4171,0,1,3,7,13,15,42
4172,0,0,1,4,8,15,39
4173,0,0,1,4,10,30,18
4174,0,0,1,5,2,3,16
4175,0,0,1,4,5,6,55
4176,0,0,2,5,2,19,50
4177,0,0,2,5,5,22,23
4178,0,0,1,6,3,24,18
4179,0,0,0,1,3,16,47
4180,0,0,1,3,3,0,42
4181,0,1,3,7,6,15,48
4182,0,1,3,7,11,23,56
4183,0,0,0,4,11,24,38
4184,0,1,3,7,0,14,60
4185,0,0,0,2,12,9,14
4186,0,0,2,3,0,4,37
4187,0,0,1,1,2,27,40
4188,0,1,3,7,5,9,10
4189,0,1,3,7,5,16,9
4190,0,0,0,4,1,4,34
4191,0,0,1,4,7,22,20
4192,0,0,0,1,6,9,56
4193,0,1,3,7,7,12,45
4194,0,0,0,6,7,2,12
4195,0,0,0,1,1,8,47
4196,0,0,0,6,12,31,10
4197,0,0,2,3,13,4,25
4198,0,1,3,7,0,20,1
4199,0,1,3,7,13,4,16
4200,0,1,3,7,5,8,45
4201,0,0,1,6,2,8,3
4202,0,0,2,1,3,6,31
4203,0,1,3,7,2,15,45
4204,0,1,3,7,8,23,24
4205,0,1,3,7,6,28,32
4206,0,0,1,1,12,3,30
4207,0,0,1,1,10,14,56
4208,0,0,1,2,7,10,58
4209,0,0,2,5,5,6,48
4210,0,0,0,6,8,22,61
4211,0,0,1,3,9,10,36
4212,0,1,3,7,1,9,1
4213,0,1,3,7,13,0,9
4214,0,0,1,3,1,21,7
4215,0,0,1,2,2,25,56
4216,0,1,3,7,11,15,32
4217,0,0,2,4,2,25,52
4218,0,0,0,6,11,13,53
4219,0,1,3,7,2,17,7
4220,0,1,3,7,1,1,21
4221,0,0,2,6,15,4,27
4222,0,0,1,0,8,10,38
4223,0,1,3,7,15,8,55
4224,0,0,0,6,10,26,32
4225,0,0,2,1,0,26,48
4226,0,0,2,6,12,3,25
4227,0,0,0,3,12,27,50
4228,0,0,1,6,1,29,24
4229,0,1,3,7,3,7,1
4230,0,0,0,3,13,11,10
4231,0,1,3,7,10,14,41
4232,0,1,3,7,15,4,52
4233,0,1,3,7,2,4,41
4234,0,1,3,7,5,17,40
4235,0,0,2,2,7,28,5
4236,0,0,0,4,0,4,27
4237,0,0,0,2,7,28,21
4238,0,1,3,7,6,21,36
4239,0,0,0,6,3,13,43
4240,0,1,3,7,9,15,45
4241,0,0,1,6,12,14,28
4242,0,0,0,6,9,28,9
4243,0,0,0,1,1,5,51
4244,0,0,0,4,6,28,19
4245,0,0,2,3,9,18,7
4246,0,0,0,6,10,5,30
4247,0,1,3,7,0,19,24
4248,0,0,1,6,7,0,57
4249,0,0,1,0,15,25,59
4250,0,0,0,4,4,7,9
4251,0,0,2,1,10,2,14
4252,0,1,3,7,12,3,4
4253,0,0,1,6,5,11,32
4254,0,0,1,1,10,3,63
4255,0,1,3,7,7,10,12
4256,0,0,0,4,8,26,38
4257,0,0,1,1,1,24,59
4258,0,0,0,0,10,28,6
4259,0,0,0,5,15,29,31
4260,0,1,3,7,1,20,56
4261,0,1,3,7,5,25,53
4262,0,1,3,7,7,1,31
4263,0,1,3,7,13,13,7
4264,0,0,2,4,5,26,24
4265,0,0,1,1,6,11,14
4266,0,0,1,4,1,7,42
4267,0,0,0,6,4,18,15
4268,0,1,3,7,15,13,6
4269,0,0,2,6,6,30,9
4270,0,0,0,0,0,22,30
4271,0,0,0,2,13,19,12
4272,0,1,3,7,10,15,59
4273,0,0,1,3,13,8,40
4274,0,0,1,0,9,8,25
4275,0,0,0,5,7,18,43
4276,0,1,3,7,0,5,31
4277,0,1,3,7,11,9,2
4278,0,1,3,7,7,23,63
4279,0,0,0,5,8,30,34
4280,0,0,0,1,7,17,62
4281,0,0,2,5,13,28,49
4282,0,1,3,7,8,0,44
4283,0,0,2,5,0,24,34
4284,0,0,2,2,12,3,42
4285,0,1,3,7,13,23,60
4286,0,1,3,7,11,10,28
4287,0,1,3,7,8,16,19
4288,0,0,0,5,9,9,3
4289,0,0,2,0,12,4,29
4290,0,0,1,4,6,11,42
4291,0,1,3,7,15,21,41
4292,0,0,2,1,5,31,57
4293,0,1,3,7,8,1,32
4294,0,1,3,7,11,25,22
4295,0,0,1,6,12,17,5
4296,0,0,2,5,15,10,52
4297,0,0,1,1,6,25,57
4298,0,0,2,1,2,14,56
4299,0,0,1,0,10,23,44
4300,0,0,1,2,10,4,47
4301,0,1,3,7,15,3,44
4302,0,0,2,0,0,8,47
4303,0,0,0,4,0,29,41
4304,0,0,0,5,3,25,39
4305,0,0,2,4,6,9,6
4306,0,0,0,6,9,15,20
4307,0,1,3,7,13,24,24
4308,0,1,3,7,3,9,38
4309,0,0,0,6,6,2,14
4310,0,0,1,2,2,8,60
4311,0,0,0,0,5,14,51
4312,0,0,1,2,9,19,7
4313,0,1,3,7,0,11,45
4314,0,0,0,0,0,15,62
4315,0,1,3,7,2,1,63
4316,0,1,3,7,2,21,52
4317,0,0,0,6,3,5,62
4318,0,1,3,7,2,11,34
4319,0,0,0,2,0,24,25
4320,0,0,1,4,3,2,16
4321,0,0,0,0,7,11,27
4322,0,0,2,1,11,4,0
4323,0,0,0,4,2,3,5
4324,0,0,2,0,6,21,31
4325,0,1,3,7,1,10,7
4326,0,0,1,1,8,1,29
4327,0,1,3,7,3,5,60
4328,0,0,2,4,11,10,60
4329,0,0,2,6,7,14,54
4330,0,0,0,1,14,22,55
4331,0,1,3,7,9,0,47
4332,0,0,0,3,13,24,57
4333,0,0,2,2,10,2,6
4334,0,0,1,3,13,18,50
4335,0,0,2,2,1,24,38
4336,0,0,1,3,7,20,51
4337,0,0,2,2,11,6,4
4338,0,0,2,5,9,2,63
4339,0,0,1,2,13,21,42
4340,0,0,1,1,13,21,3
4341,0,0,0,3,9,31,59
4342,0,0,2,3,8,10,50
4343,0,0,0,4,9,0,63
4344,0,1,3,7,9,29,27
4345,0,0,2,6,1,25,34
4346,0,1,3,7,8,20,26
4347,0,0,2,5,2,1,31
4348,0,0,2,2,15,27,7
4349,0,0,0,0,1,1,41
4350,0,1,3,7,14,24,50
4351,0,1,3,7,15,0,19
4352,0,0,1,3,9,24,48
4353,0,1,3,7,13,28,13
4354,0,1,3,7,12,5,62
4355,0,0,0,0,8,25,33
4356,0,0,1,3,13,12,30
4357,0,1,3,7,2,9,11
4358,0,0,1,0,4,23,39
4359,0,0,0,1,0,3,12
4360,0,0,2,0,1,24,30
4361,0,0,1,2,8,22,3
4362,0,1,3,7,0,21,47
4363,0,0,0,6,13,11,50
4364,0,1,3,7,15,9,29
4365,0,1,3,7,2,16,25
4366,0,0,1,5,8,31,45
4367,0,1,3,7,8,23,43
4368,0,0,1,4,9,28,54
4369,0,1,3,7,5,31,24
4370,0,1,3,7,2,17,25
4371,0,0,2,3,3,17,59
4372,0,0,2,1,11,27,3
4373,0,0,1,3,2,12,43
4374,0,0,2,4,2,23,48
4375,0,0,0,0,5,23,61
4376,0,0,1,2,3,18,61
4377,0,0,2,6,6,27,5
4378,0,0,0,3,10,4,4
4379,0,0,0,1,11,28,51
4380,0,1,3,7,12,23,52
4381,0,0,2,1,11,6,54
4382,0,1,3,7,5,9,13
4383,0,1,3,7,5,2,36
4384,0,0,1,2,8,8,42
4385,0,0,2,6,14,26,37
4386,0,0,0,4,7,28,59
4387,0,0,2,6,9,4,45
4388,0,1,3,7,8,1,29
4389,0,0,1,5,13,26,55
4390,0,0,1,6,4,24,22
4391,0,1,3,7,12,19,0
4392,0,0,1,1,8,7,7
4393,0,1,3,7,14,18,61
4394,0,0,2,0,4,8,33
4395,0,0,1,3,6,8,20
4396,0,1,3,7,7,1,22
4397,0,0,2,5,15,25,20
4398,0,1,3,7,3,30,48
4399,0,0,0,5,5,28,58
4400,0,1,3,7,7,23,11
4401,0,0,2,1,13,26,41
4402,0,1,3,7,15,29,50
4403,0,1,3,7,6,26,63
4404,0,1,3,7,8,14,17
4405,0,0,1,2,2,27,26
4406,0,1,3,7,2,3,61
4407,0,0,2,5,9,7,63
4408,0,1,3,7,7,19,41
4409,0,1,3,7,13,26,45
4410,0,1,3,7,11,23,22
4411,0,0,2,6,10,18,40
4412,0,1,3,7,15,0,63
4413,0,1,3,7,12,4,11
4414,0,0,2,5,11,2,56
4415,0,0,2,4,2,28,50
4416,0,0,2,2,10,31,10
4417,0,0,2,4,9,26,15
4418,0,1,3,7,11,9,61
4419,0,0,0,3,9,25,18
4420,0,1,3,7,3,3,55
4421,0,0,1,6,13,10,26
4422,0,0,2,4,15,13,24
4423,0,0,2,1,8,17,6
4424,0,1,3,7,9,18,40
4425,0,0,0,1,2,7,14
4426,0,0,2,5,9,23,55
4427,0,0,0,4,4,17,52
4428,0,0,2,0,8,3,53
4429,0,1,3,7,15,5,38
4430,0,0,1,6,1,20,52
4431,0,1,3,7,2,29,22
4432,0,0,2,4,15,13,39
4433,0,1,3,7,12,17,30
4434,0,0,1,5,14,11,31
4435,0,0,1,1,11,8,23
4436,0,1,3,7,0,1,38
4437,0,0,2,4,2,20,39
4438,0,0,1,0,0,25,45
4439,0,1,3,7,1,28,53
4440,0,0,2,4,12,0,60
4441,0,0,2,0,14,10,36
4442,0,0,2,6,14,21,62
4443,0,0,0,3,14,15,50
4444,0,0,1,4,7,31,42
4445,0,1,3,7,0,9,43
4446,0,0,0,2,10,14,49
4447,0,1,3,7,11,16,49
4448,0,0,2,1,1,25,7
4449,0,1,3,7,10,30,27
4450,0,0,0,6,14,11,26
4451,0,0,2,3,15,17,21
4452,0,0,0,5,11,12,14
4453,0,1,3,7,14,29,48
4454,0,1,3,7,2,18,11
4455,0,0,0,5,14,14,56
4456,0,1,3,7,12,23,2
4457,0,1,3,7,8,8,3
4458,0,1,3,7,3,17,32
4459,0,1,3,7,4,18,11
4460,0,0,1,5,5,25,51
4461,0,0,2,6,6,22,12
4462,0,0,0,0,6,30,27
4463,0,1,3,7,8,8,41
4464,0,1,3,7,11,14,63
4465,0,1,3,7,9,24,29
4466,0,0,0,2,10,15,15
4467,0,0,0,6,15,27,47
4468,0,0,1,2,5,27,38
4469,0,0,0,5,10,12,46
4470,0,0,1,3,6,8,44
4471,0,0,0,5,10,29,33
4472,0,0,2,1,2,11,12
4473,0,0,0,1,7,31,58
4474,0,0,2,0,14,29,12
4475,0,0,1,1,11,10,51
4476,0,1,3,7,15,30,38
4477,0,1,3,7,11,27,45
4478,0,0,0,2,7,2,8
4479,0,0,2,4,12,24,42
4480,0,0,2,3,3,12,3
4481,0,0,1,6,2,0,39
4482,0,0,2,3,7,22,47
4483,0,1,3,7,13,28,57
4484,0,0,2,2,5,11,24
4485,0,0,2,5,5,3,57
4486,0,0,2,6,12,5,46
4487,0,0,2,3,4,13,6
4488,0,0,0,6,6,10,22
4489,0,0,1,2,0,3,29
4490,0,1,3,7,4,14,31
4491,0,1,3,7,0,6,20
4492,0,0,0,2,13,8,42
4493,0,0,0,4,0,1,62
4494,0,1,3,7,13,20,23
4495,0,1,3,7,6,17,28
4496,0,0,0,0,5,11,2
4497,0,0,0,1,3,1,44
4498,0,0,0,0,10,14,24
4499,0,0,2,3,6,10,24
4500,0,0,0,1,0,28,47
4501,0,0,2,5,7,4,31
4502,0,0,1,5,0,27,60
4503,0,0,1,3,0,16,8
4504,0,1,3,7,12,6,17
4505,0,0,1,5,6,24,38
4506,0,0,0,3,6,5,47
4507,0,0,1,1,8,31,40
4508,0,0,1,6,11,1,53
4509,0,0,0,5,5,22,63
4510,0,1,3,7,1,30,19
4511,0,0,0,1,11,17,33
4512,0,0,1,1,15,23,56
4513,0,1,3,7,12,4,36
4514,0,0,0,1,12,20,23
4515,0,1,3,7,8,26,57
4516,0,1,3,7,0,14,28
4517,0,0,0,6,3,23,15
4518,0,0,1,2,0,27,11
4519,0,0,1,1,15,11,4
4520,0,0,0,5,9,15,46
4521,0,0,1,2,9,1,8
4522,0,0,0,4,15,17,45
4523,0,0,0,1,10,6,42
4524,0,0,2,0,12,17,60
4525,0,0,1,1,11,1,63
4526,0,1,3,7,5,20,24
4527,0,0,2,2,12,30,34
4528,0,1,3,7,4,0,13
4529,0,0,2,4,0,1,49
4530,0,0,1,3,0,7,21
4531,0,1,3,7,12,10,39
4532,0,0,0,2,9,2,42
4533,0,0,2,1,9,3,27
4534,0,1,3,7,7,26,17
4535,0,0,1,2,7,28,21
4536,0,1,3,7,10,3,43
4537,0,0,2,4,6,14,48
4538,0,1,3,7,0,8,6
4539,0,0,1,0,15,25,47
4540,0,0,2,6,5,16,38
4541,0,1,3,7,3,10,23
4542,0,0,2,6,15,31,60
4543,0,1,3,7,11,2,7
4544,0,0,1,4,11,13,30
4545,0,0,0,6,10,28,34
4546,0,0,1,2,10,5,31
4547,0,1,3,7,1,5,10
4548,0,1,3,7,10,10,1
4549,0,0,2,0,1,13,63
4550,0,0,1,4,10,28,31
4551,0,1,3,7,14,4,30
4552,0,0,1,3,8,26,38
4553,0,0,2,6,13,5,38
4554,0,1,3,7,10,11,11
4555,0,0,2,1,0,10,51
4556,0,0,0,5,14,9,59
4557,0,0,2,5,13,21,47
4558,0,0,2,4,4,11,43
4559,0,0,1,2,11,22,20
4560,0,0,1,4,0,27,44
4561,0,0,2,3,5,29,25
4562,0,0,1,6,12,5,44
4563,0,0,1,0,11,5,6
4564,0,0,2,2,7,22,21
4565,0,1,3,7,1,21,52
4566,0,0,0,1,8,5,39
4567,0,0,0,4,1,15,45
4568,0,0,0,1,14,15,16
4569,0,1,3,7,4,23,22
4570,0,0,2,4,8,29,55
4571,0,0,2,5,0,7,18
4572,0,0,1,3,7,11,52
4573,0,1,3,7,7,19,36
4574,0,1,3,7,14,26,43
4575,0,0,1,4,0,27,48
4576,0,0,1,3,10,17,54
4577,0,0,1,2,8,14,57
4578,0,1,3,7,0,23,63
4579,0,1,3,7,12,14,51
4580,0,0,0,4,2,7,1
4581,0,0,0,1,15,15,60
4582,0,0,0,4,6,26,2
4583,0,1,3,7,15,23,56
4584,0,0,2,2,1,29,63
4585,0,0,2,3,9,24,34
4586,0,0,0,0,10,27,7
4587,0,0,0,5,2,19,60
4588,0,0,2,6,13,18,50
4589,0,1,3,7,8,31,60
4590,0,0,0,2,3,5,19
4591,0,0,1,2,14,22,21
4592,0,0,0,5,7,14,20
4593,0,0,1,5,8,23,10
4594,0,0,1,4,4,0,18
4595,0,0,0,5,0,28,22
4596,0,0,2,2,12,2,14
4597,0,0,0,0,4,6,45
4598,0,0,2,1,12,17,47
4599,0,0,2,3,3,31,53
4600,0,0,0,0,9,7,33
4601,0,0,0,3,5,24,40
4602,0,1,3,7,1,20,53
4603,0,0,2,2,3,31,36
4604,0,0,1,2,4,9,53
4605,0,1,3,7,9,12,34
4606,0,0,0,2,5,30,28
4607,0,1,3,7,6,7,8
4608,0,0,2,5,15,14,43
4609,0,0,2,2,4,20,25
4610,0,0,0,3,14,21,54
4611,0,0,0,1,8,15,48
4612,0,0,0,1,15,9,49
4613,0,0,1,0,4,22,21
4614,0,1,3,7,15,15,31
4615,0,0,2,1,8,7,32
4616,0,1,3,7,2,8,19
4617,0,0,2,0,5,15,24
4618,0,0,1,6,1,18,25
4619,0,0,0,0,6,3,29
4620,0,0,2,1,9,6,5
4621,0,0,0,3,8,26,48
4622,0,1,3,7,1,11,46
4623,0,0,2,4,1,9,42
4624,0,0,1,1,12,22,12
4625,0,1,3,7,0,28,20
4626,0,1,3,7,13,26,24
4627,0,1,3,7,13,17,54
4628,0,0,2,2,0,30,23
4629,0,0,0,2,12,5,32
4630,0,0,2,3,7,24,63
4631,0,0,2,2,6,17,53
4632,0,0,2,4,3,13,52
4633,0,0,2,6,13,5,20
4634,0,0,0,5,4,23,16
4635,0,0,1,3,11,19,21
4636,0,0,0,4,12,4,43
4637,0,0,1,6,12,11,42
4638,0,0,1,6,14,24,24
4639,0,1,3,7,14,26,21
4640,0,0,2,5,9,1,4
4641,0,0,1,2,0,4,38
4642,0,0,2,1,15,12,42
4643,0,1,3,7,8,20,48
4644,0,1,3,7,2,20,2
4645,0,0,1,4,3,21,38
4646,0,0,1,6,2,10,61
4647,0,1,3,7,4,17,54
4648,0,1,3,7,13,4,44
4649,0,0,0,2,14,14,56
4650,0,1,3,7,12,6,6
4651,0,1,3,7,2,30,52
4652,0,0,0,1,2,19,35
4653,0,0,0,3,7,28,30
4654,0,1,3,7,11,16,29
4655,0,0,2,3,15,16,0
4656,0,0,0,4,4,23,58
4657,0,1,3,7,15,22,48
4658,0,1,3,7,10,30,46
4659,0,0,1,4,13,12,31
4660,0,1,3,7,14,20,53
4661,0,1,3,7,0,14,55
4662,0,1,3,7,1,12,6
4663,0,1,3,7,2,27,1
4664,0,0,2,1,12,13,11
4665,0,0,2,4,0,10,42
4666,0,0,2,6,12,24,53
4667,0,1,3,7,15,26,33
4668,0,0,2,2,3,27,35
4669,0,1,3,7,10,3,6
4670,0,0,1,5,4,6,10
4671,0,0,0,1,4,16,19
4672,0,1,3,7,15,12,3
4673,0,0,2,1,11,12,54
4674,0,0,2,3,13,7,13
4675,0,0,0,2,8,28,16
4676,0,0,0,6,11,15,39
4677,0,1,3,7,7,8,23
4678,0,0,1,1,13,2,48
4679,0,0,2,1,11,23,32
4680,0,0,0,1,5,30,2
4681,0,0,1,0,4,26,31
4682,0,0,2,2,4,3,30
4683,0,0,2,0,11,20,22
4684,0,0,1,4,5,7,7
4685,0,0,1,0,6,4,29
4686,0,1,3,7,11,27,56
4687,0,1,3,7,2,5,27
4688,0,0,2,1,2,30,23
4689,0,1,3,7,1,9,4
4690,0,0,0,1,11,4,8
4691,0,1,3,7,2,1,28
4692,0,0,2,4,8,19,4
4693,0,0,0,0,7,20,58
4694,0,0,0,5,2,26,7
4695,0,0,2,2,0,8,22
4696,0,0,0,5,2,5,43
4697,0,1,3,7,9,4,24
4698,0,0,0,2,1,23,41
4699,0,0,2,6,0,20,5
4700,0,0,1,0,3,26,44
4701,0,0,2,2,10,11,53
4702,0,1,3,7,7,17,58
4703,0,0,0,6,5,24,32
4704,0,1,3,7,9,19,8
4705,0,1,3,7,2,29,55
4706,0,0,0,0,1,20,59
4707,0,0,2,4,3,14,27
4708,0,1,3,7,15,3,4
4709,0,0,0,6,14,1,37
4710,0,1,3,7,13,15,13
4711,0,0,2,2,11,1,25
4712,0,0,1,3,0,30,40
4713,0,1,3,7,15,24,51
4714,0,0,1,0,10,10,29
4715,0,1,3,7,14,17,50
4716,0,0,2,0,2,23,43
4717,0,1,3,7,0,18,12
4718,0,0,2,6,13,14,62
4719,0,1,3,7,13,22,13
4720,0,0,2,5,0,21,4
4721,0,1,3,7,13,16,50
4722,0,0,2,5,5,1,13
4723,0,0,1,1,13,3,38
4724,0,0,0,1,13,25,44
4725,0,0,0,0,5,30,47
4726,0,0,0,1,14,9,47
4727,0,0,1,4,11,10,48
4728,0,0,0,4,4,26,5
4729,0,0,1,1,12,28,46
4730,0,1,3,7,9,0,28
4731,0,1,3,7,10,2,63
4732,0,0,0,0,2,1,25
4733,0,0,0,3,0,2,50
4734,0,0,1,5,11,9,29
4735,0,1,3,7,3,2,63
4736,0,0,1,0,6,9,32
4737,0,1,3,7,15,13,55
4738,0,1,3,7,13,19,48
4739,0,1,3,7,0,25,45
4740,0,0,2,5,1,23,34
4741,0,0,2,3,11,5,53
4742,0,0,2,4,15,18,63
4743,0,0,2,0,1,1,8
4744,0,0,2,5,5,13,55
4745,0,0,1,6,3,21,0
4746,0,1,3,7,9,7,3
4747,0,0,0,1,10,21,52
4748,0,0,0,4,2,2,29
4749,0,0,0,4,11,15,8
4750,0,0,2,1,3,9,1
4751,0,0,0,5,6,7,55
4752,0,0,2,6,11,5,26
4753,0,1,3,7,12,5,12
